!contents -R2 -g -p -f -h
'''As a tester I require the ability to test class 7 vehicles'''

!| GenerateTestDataForOtherFitnesseTests|
|siteId?        |testerUsername?        |
|$siteId1=      |$testerUsername1=      |
|               |$testerUsername2=      |

Submit brake test values and check result for class 7 - roller brake test. Note: all tests used have been started by a newly created tester.

!| Vm 1030 Brake test results class 7|$testerUsername1|$siteId1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|Modifier username                   |Vehicle weight  |Tested unladen|Service brake nearside axle 1|Service brake offside axle 1|Service brake nearside axle 2|Service brake offside axle 2|Service brake nearside axle 3|Service brake offside axle 3|Parking brake nearside|Parking brake offside|Service brake type|Service brake nearside axle 1 lock|Service brake offside axle 1 lock|Service brake nearside axle 2 lock|Service brake offside axle 2 lock|Parking brake nearside lock|Parking brake offside lock|Service brake efficiency?|Parking brake efficiency?|Parking brake imbalance?|Front brake imbalance?|Service brake pass?|Parking brake pass?|Imbalance pass?|Parking brake imbalance pass?|General pass?|saved correctly?|
|$testerUsername2                    |1200            |YES           |30                           |30                          |100                          |100                         |                             |                            |150                   |250                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |ERROR                    |ERROR                    |ERROR                   |ERROR                 |ERROR              |ERROR              |ERROR          |ERROR                        |ERROR        |N/A             |
|$testerUsername1                    |1000            |YES           |150                          |150                         |150                          |150                         |                             |                            |100                   |100                  |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |>=50                     |>=16                     |N/A                     |0                     |PASS               |PASS               |PASS           |N/A                          |PASS         |true            |
|$testerUsername1                    |1000            |NO            |100                          |90                          |150                          |150                         |                             |                            |100                   |100                  |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |<50                      |>=16                     |N/A                     |10                    |FAIL               |PASS               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |1000            |YES           |150                          |150                         |150                          |150                         |                             |                            |70                    |70                   |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |>=50                     |<16                      |N/A                     |0                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |1000            |NO            |119                          |181                         |150                          |150                         |                             |                            |100                   |100                  |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |>=50                     |>=16                     |N/A                     |>30                   |PASS               |PASS               |FAIL           |N/A                          |FAIL         |true            |
|$testerUsername1                    |1000            |NO            |100                          |90                          |150                          |150                         |                             |                            |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |LOCK                             |NO                         |NO                        |<50                      |>=16                     |N/A                     |10                    |PASS               |PASS               |PASS           |N/A                          |PASS         |true            |
|$testerUsername1                    |1200            |NO            |150                          |150                         |150                          |150                         |                             |                            |65                    |85                   |DUAL              |NO                                |NO                               |NO                                |NO                               |LOCK                       |LOCK                      |>=50                     |<16                      |N/A                     |0                     |PASS               |PASS               |PASS           |N/A                          |PASS         |true            |
|$testerUsername1                    |1200            |YES           |30                           |30                          |99                           |99                          |                             |                            |120                   |120                  |SINGLE            |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |<50                      |20                       |0                       |0                     |FAIL               |FAIL               |PASS           |PASS                         |FAIL         |true            |
|$testerUsername1                    |1200            |YES           |30                           |30                          |99                           |99                          |                             |                            |120                   |120                  |SINGLE            |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<50                      |20                       |0                       |0                     |FAIL               |FAIL               |PASS           |PASS                         |FAIL         |true            |
|$testerUsername1                    |1200            |YES           |30                           |30                          |100                          |100                         |                             |                            |150                   |150                  |SINGLE            |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<50                      |>=25                     |0                       |0                     |PASS               |PASS               |PASS           |PASS                         |PASS         |true            |
|$testerUsername1                    |1200            |NO            |30                           |30                          |100                          |100                         |                             |                            |150                   |150                  |SINGLE            |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<50                      |>=25                     |0                       |0                     |FAIL               |PASS               |PASS           |PASS                         |FAIL         |true            |
|$testerUsername1                    |1200            |YES           |30                           |30                          |100                          |100                         |                             |                            |150                   |250                  |SINGLE            |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<50                      |>=25                     |>30                     |0                     |PASS               |PASS               |PASS           |FAIL                         |FAIL         |true            |
|$testerUsername1                    |1200            |YES           |30                           |30                          |100                          |100                         |                             |                            |150                   |250                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<50                      |>=25                     |N/A                     |0                     |PASS               |PASS               |PASS           |N/A                          |PASS         |true            |
|$testerUsername1                    |1000            |YES           |100                          |100                         |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |>=16                     |N/A                     |0                     |PASS               |PASS               |PASS           |N/A                          |PASS         |true            |
|$testerUsername1                    |2000            |YES           |100                          |100                         |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |99                           |100                         |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |1                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |49                           |49                          |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |49                           |49                          |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |0                            |0                           |50                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |PASS               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |49                           |50                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |50                           |49                          |50                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |50                           |50                          |49                           |50                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |3500            |YES           |50                           |50                          |50                           |50                          |50                           |49                          |100                   |100                  |DUAL              |LOCK                              |LOCK                             |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |N/A                     |0                     |FAIL               |FAIL               |PASS           |N/A                          |FAIL         |true            |
|$testerUsername1                    |2000            |YES           |189                          |90                          |90                           |90                          |                             |                            |10                    |90                   |SINGLE            |NO                                |NO                               |NO                                |NO                               |NO                         |NO                        |<=50                     |<=16                     |89                      |53                    |FAIL               |FAIL               |FAIL           |FAIL                         |FAIL         |true            |
